id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,27614.43,27614.43,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,6306.81,6306.81,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,424.42158019999994,424.42158019999994,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108025,Sale,2024-01-08,2024-01-08,96880.03,96880.03,,,Paid,,50000.0,,,P004,Premium Product D,1.0,96880.03,Cash,C008,4844.0,92036.03,50000.0,46880.03,,
Sale20240108026,Sale,2024-01-08,2024-01-08,37876.84,37876.84,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,18938.42,Account Receviable,C012,1893.84,35983.0,20000.0,17876.839999999997,,
Sale20240108027,Sale,2024-01-08,2024-01-08,8630.0,8630.0,,,Paid,,5000.0,,,P001,Premium Product A,1.0,8630.0,Cash,C008,431.5,8198.5,5000.0,3630.0,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,20989.04,20989.04,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,25873.17,25873.17,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,424.42158019999994,424.42158019999994,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240109029,Sale,2024-01-09,2024-01-09,283990.68,283990.68,,,Paid,,50000.0,,,P004,Premium Product D,3.0,94663.56,Cash,C007,14199.53,269791.15,150000.0,133990.68,,
Sale20240109030,Sale,2024-01-09,2024-01-09,18677.88,18677.88,,,Unpaid,,5000.0,,,P001,Premium Product A,2.0,9338.94,Account Receviable,C003,933.89,17743.99,10000.0,8677.880000000001,,
Sale20240109031,Sale,2024-01-09,2024-01-09,34288.34,34288.34,,,Paid,,20000.0,,,P003,Premium Product C,1.0,34288.34,Cash,C005,1714.42,32573.92,20000.0,14288.339999999997,,
Sale20240109032,Sale,2024-01-09,2024-01-09,58095.09,58095.09,,,Paid,,10000.0,,,P002,Premium Product B,3.0,19365.03,Cash,C013,2904.75,55190.34,30000.0,28095.089999999997,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,35000.0,35000.0,Director,Supervisor,Paid,Bank Transfer,5000.0,S006,Supplier 6,P001,Premium Product A,7.0,5000.0,,,,,,,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S007,Supplier 7,P004,Premium Product D,10.0,50000.0,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,20108.99,20108.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,3026.63,3026.63,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,376.8065802,376.8065802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240110035,Sale,2024-01-10,2024-01-10,27641.55,27641.55,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9213.85,Cash,C015,1382.08,26259.47,15000.0,12641.55,,
Sale20240110036,Sale,2024-01-10,2024-01-10,56061.81,56061.81,,,Unpaid,,10000.0,,,P002,Premium Product B,3.0,18687.27,Account Receviable,C007,2803.09,53258.72,30000.0,26061.809999999998,,
Sale20240110037,Sale,2024-01-10,2024-01-10,27073.41,27073.41,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9024.47,Cash,C017,1353.67,25719.74,15000.0,12073.41,,
Expense20240110001,Financial Expenses,2024-01-10,2024-01-10,5111.82,5111.82,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Financial Expenses,2024-01-10,2024-01-10,18697.38,18697.38,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,9113.31,9113.31,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,376.8065802,376.8065802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240111039,Sale,2024-01-11,2024-01-11,18414.34,18414.34,,,Paid,,5000.0,,,P001,Premium Product A,2.0,9207.17,Cash,C014,920.72,17493.62,10000.0,8414.34,,
Sale20240111040,Sale,2024-01-11,2024-01-11,105728.19,105728.19,,,Unpaid,,20000.0,,,P003,Premium Product C,3.0,35242.73,Account Receviable,C006,5286.41,100441.78,60000.0,45728.19,,
Sale20240111041,Sale,2024-01-11,2024-01-11,19778.28,19778.28,,,Paid,,10000.0,,,P002,Premium Product B,1.0,19778.28,Cash,C004,988.91,18789.37,10000.0,9778.279999999999,,
Sale20240111042,Sale,2024-01-11,2024-01-11,37069.99,37069.99,,,Paid,,20000.0,,,P003,Premium Product C,1.0,37069.99,Cash,C005,1853.5,35216.49,20000.0,17069.989999999998,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Director,Senior Staff,Paid,Cash,5000.0,S001,Supplier 1,P001,Premium Product A,3.0,5000.0,,,,,,,,
Expense20240111001,Financial Expenses,2024-01-11,2024-01-11,15212.96,15212.96,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,25296.06,25296.06,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,376.8065802,376.8065802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240112044,Sale,2024-01-12,2024-01-12,17929.87,17929.87,,,Paid,,10000.0,,,P002,Premium Product B,1.0,17929.87,Cash,C012,896.49,17033.38,10000.0,7929.869999999999,,
Sale20240112045,Sale,2024-01-12,2024-01-12,177577.94,177577.94,,,Paid,,50000.0,,,P004,Premium Product D,2.0,88788.97,Cash,C012,8878.9,168699.04,100000.0,77577.94,,
Sale20240112046,Sale,2024-01-12,2024-01-12,104829.42,104829.42,,,Unpaid,,20000.0,,,P003,Premium Product C,3.0,34943.14,Account Receviable,C005,5241.47,99587.95,60000.0,44829.42,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,90000.0,90000.0,Director,Staff,Paid,Cash,10000.0,S003,Supplier 3,P002,Premium Product B,9.0,10000.0,,,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,17534.24,17534.24,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,6406.32,6406.32,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,14354.64,14354.64,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,376.8065802,376.8065802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240113050,Sale,2024-01-13,2024-01-13,51373.59,51373.59,,,Paid,,10000.0,,,P002,Premium Product B,3.0,17124.53,Cash,C002,2568.68,48804.91,30000.0,21373.589999999997,,
Sale20240113051,Sale,2024-01-13,2024-01-13,28041.75,28041.75,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9347.25,Cash,C002,1402.09,26639.66,15000.0,13041.75,,
Purchase20231231014,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Director,Staff,Paid,Cash,5000.0,S005,Supplier 5,P001,Premium Product A,4.0,5000.0,,,,,,,,
Purchase20231231015,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Senior Staff,Paid,Cash,20000.0,S002,Supplier 2,P003,Premium Product C,5.0,20000.0,,,,,,,,
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,15666.7,15666.7,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,16596.08,16596.08,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,17494.83,17494.83,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,376.8065802,376.8065802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240114053,Sale,2024-01-14,2024-01-14,90231.82,90231.82,,,Paid,,50000.0,,,P004,Premium Product D,1.0,90231.82,Cash,C015,4511.59,85720.23,50000.0,40231.82000000001,,
Sale20240114054,Sale,2024-01-14,2024-01-14,51088.44,51088.44,,,Paid,,10000.0,,,P002,Premium Product B,3.0,17029.48,Cash,C018,2554.42,48534.02,30000.0,21088.440000000002,,
Sale20240114055,Sale,2024-01-14,2024-01-14,27423.33,27423.33,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9141.11,Cash,C011,1371.17,26052.16,15000.0,12423.330000000002,,
Purchase20231231016,Purchase,2023-12-31,2023-12-31,140000.0,140000.0,Director,Senior Staff,Paid,Cash,20000.0,S008,Supplier 8,P003,Premium Product C,7.0,20000.0,,,,,,,,
Expense20240114001,Financial Expenses,2024-01-14,2024-01-14,18479.1,18479.1,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,17088.3,17088.3,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,376.8065802,376.8065802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240115057,Sale,2024-01-15,2024-01-15,25949.19,25949.19,,,Paid,,5000.0,,,P001,Premium Product A,3.0,8649.73,Cash,C011,1297.46,24651.73,15000.0,10949.189999999999,,
Sale20240115058,Sale,2024-01-15,2024-01-15,38068.12,38068.12,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,19034.06,Account Receviable,C002,1903.41,36164.71,20000.0,18068.120000000003,,
Purchase20231231017,Purchase,2023-12-31,2023-12-31,35000.0,35000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S010,Supplier 10,P001,Premium Product A,7.0,5000.0,,,,,,,,
Purchase20231231018,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Supervisor,Unpaid,Account Payable,10000.0,S008,Supplier 8,P002,Premium Product B,6.0,10000.0,,,,,,,,
Expense20240115001,Financial Expenses,2024-01-15,2024-01-15,18057.77,18057.77,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,17845.72,17845.72,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,21449.46,21449.46,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,373.6915802,373.6915802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240116061,Sale,2024-01-16,2024-01-16,98473.31,98473.31,,,Paid,,50000.0,,,P004,Premium Product D,1.0,98473.31,Cash,C011,4923.67,93549.64,50000.0,48473.31,,
Sale20240116062,Sale,2024-01-16,2024-01-16,172233.28,172233.28,,,Paid,,50000.0,,,P004,Premium Product D,2.0,86116.64,Cash,C001,8611.66,163621.62,100000.0,72233.28,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,26460.51,26460.51,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240116001,Administrative Expenses,2024-01-16,2024-01-16,7639.04,7639.04,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,10964.44,10964.44,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,373.6915802,373.6915802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240117065,Sale,2024-01-17,2024-01-17,37557.79,37557.79,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,37557.79,Account Receviable,C011,1877.89,35679.9,20000.0,17557.79,,
Sale20240117066,Sale,2024-01-17,2024-01-17,18180.03,18180.03,,,Paid,,10000.0,,,P002,Premium Product B,1.0,18180.03,Cash,C008,909.0,17271.03,10000.0,8180.029999999999,,
Sale20240117067,Sale,2024-01-17,2024-01-17,26920.14,26920.14,,,Unpaid,,5000.0,,,P001,Premium Product A,3.0,8973.38,Account Receviable,C001,1346.01,25574.13,15000.0,11920.14,,
Expense20240117001,Sales Expenses,2024-01-17,2024-01-17,13918.53,13918.53,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,20641.51,20641.51,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240117001,Administrative Expenses,2024-01-17,2024-01-17,16257.42,16257.42,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240117017,Interest Receivables,2024-01-17,2024-01-17,373.6915802,373.6915802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240118069,Sale,2024-01-18,2024-01-18,8800.6,8800.6,,,Paid,,5000.0,,,P001,Premium Product A,1.0,8800.6,Cash,C019,440.03,8360.57,5000.0,3800.6000000000004,,
Sale20240118070,Sale,2024-01-18,2024-01-18,71318.72,71318.72,,,Unpaid,,20000.0,,,P003,Premium Product C,2.0,35659.36,Account Receviable,C008,3565.94,67752.78,40000.0,31318.72,,
Expense20240118001,Sales Expenses,2024-01-18,2024-01-18,20765.24,20765.24,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240118001,Administrative Expenses,2024-01-18,2024-01-18,12665.99,12665.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240118018,Interest Receivables,2024-01-18,2024-01-18,373.6915802,373.6915802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240119072,Sale,2024-01-19,2024-01-19,34449.35,34449.35,,,Paid,,20000.0,,,P003,Premium Product C,1.0,34449.35,Cash,C001,1722.47,32726.88,20000.0,14449.349999999999,,
Sale20240119073,Sale,2024-01-19,2024-01-19,35639.6,35639.6,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17819.8,Cash,C017,1781.98,33857.62,20000.0,15639.599999999999,,
Sale20240119074,Sale,2024-01-19,2024-01-19,38340.34,38340.34,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,38340.34,Account Receviable,C014,1917.02,36423.32,20000.0,18340.339999999997,,
Sale20240119075,Sale,2024-01-19,2024-01-19,37585.34,37585.34,,,Paid,,10000.0,,,P002,Premium Product B,2.0,18792.67,Cash,C015,1879.27,35706.07,20000.0,17585.339999999997,,
Purchase20231231019,Purchase,2023-12-31,2023-12-31,50000.0,50000.0,Director,Senior Staff,Paid,Bank Transfer,10000.0,S003,Supplier 3,P002,Premium Product B,5.0,10000.0,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,9434.31,9434.31,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Administrative Expenses,2024-01-19,2024-01-19,17435.28,17435.28,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240119001,Sales Expenses,2024-01-19,2024-01-19,29288.72,29288.72,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240119019,Interest Receivables,2024-01-19,2024-01-19,369.2415802,369.2415802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240120078,Sale,2024-01-20,2024-01-20,58291.95,58291.95,,,Unpaid,,10000.0,,,P002,Premium Product B,3.0,19430.65,Account Receviable,C018,2914.6,55377.35,30000.0,28291.949999999997,,
Sale20240120079,Sale,2024-01-20,2024-01-20,290547.12,290547.12,,,Paid,,50000.0,,,P004,Premium Product D,3.0,96849.04,Cash,C018,14527.36,276019.76,150000.0,140547.12,,
Sale20240120080,Sale,2024-01-20,2024-01-20,190021.2,190021.2,,,Paid,,50000.0,,,P004,Premium Product D,2.0,95010.6,Cash,C011,9501.06,180520.14,100000.0,90021.20000000001,,
Purchase20231231020,Purchase,2023-12-31,2023-12-31,450000.0,450000.0,Director,Staff,Paid,Cash,50000.0,S005,Supplier 5,P004,Premium Product D,9.0,50000.0,,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,5043.78,5043.78,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240120001,Administrative Expenses,2024-01-20,2024-01-20,22047.11,22047.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240120020,Interest Receivables,2024-01-20,2024-01-20,369.2415802,369.2415802,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240121081,Sale,2024-01-21,2024-01-21,55928.04,55928.04,,,Unpaid,,10000.0,,,P002,Premium Product B,3.0,18642.68,Account Receviable,C014,2796.4,53131.64,30000.0,25928.04,,
Sale20240121082,Sale,2024-01-21,2024-01-21,195264.22,195264.22,,,Unpaid,,50000.0,,,P004,Premium Product D,2.0,97632.11,Account Receviable,C004,9763.21,185501.01,100000.0,95264.22,,
Purchase20231231021,Purchase,2023-12-31,2023-12-31,30000.0,30000.0,Director,Staff,Paid,Bank Transfer,10000.0,S004,Supplier 4,P002,Premium Product B,3.0,10000.0,,,,,,,,
Expense20240121001,Administrative Expenses,2024-01-21,2024-01-21,18417.21,18417.21,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240121001,Financial Expenses,2024-01-21,2024-01-21,27824.27,27824.27,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240121021,Interest Receivables,2024-01-21,2024-01-21,366.57158019999997,366.57158019999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240122083,Sale,2024-01-22,2024-01-22,37095.37,37095.37,,,Paid,,20000.0,,,P003,Premium Product C,1.0,37095.37,Cash,C017,1854.77,35240.6,20000.0,17095.370000000003,,
Sale20240122084,Sale,2024-01-22,2024-01-22,27987.15,27987.15,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9329.05,Cash,C006,1399.36,26587.79,15000.0,12987.150000000001,,
Sale20240122085,Sale,2024-01-22,2024-01-22,78129.82,78129.82,,,Paid,,20000.0,,,P003,Premium Product C,2.0,39064.91,Cash,C006,3906.49,74223.33,40000.0,38129.82000000001,,
Purchase20231231022,Purchase,2023-12-31,2023-12-31,160000.0,160000.0,Director,Staff,Paid,Bank Transfer,20000.0,S010,Supplier 10,P003,Premium Product C,8.0,20000.0,,,,,,,,
Purchase20231231023,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S002,Supplier 2,P001,Premium Product A,4.0,5000.0,,,,,,,,
Expense20240122001,Sales Expenses,2024-01-22,2024-01-22,12115.27,12115.27,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240122001,Administrative Expenses,2024-01-22,2024-01-22,16765.9,16765.9,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
